name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Fort Gratiot Light,43.006306,-82.422472,Lighthouse,1825,1825-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Gratiot%20Light%202015.jpg,https://en.wikipedia.org/wiki/Fort_Gratiot_Light,St. Clair,
Marquette Harbor Light,46.546778,-87.376278,Lighthouse,1852,1852-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/USCG%20Marquette%20Lighthouse%20Lake%20Superior.jpg,https://en.wikipedia.org/wiki/Marquette_Harbor_Light,Marquette,
St. Helena Island Light,45.855,-84.8633,Lighthouse,1873,1873-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Sthelenaisland.JPG,https://en.wikipedia.org/wiki/St._Helena_Island_Light,Mackinac,
Ontonagon Light,46.873611,-89.318611,Lighthouse,1853,1853-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Ontonagon%20Lighthouse.jpg,https://en.wikipedia.org/wiki/Ontonagon_Light,Ontonagon,
Manitou Island Light Station,47.419722,-87.587222,Lighthouse,1850,1850-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Manitouisland.jpg,https://en.wikipedia.org/wiki/Manitou_Island_Light_Station,Keweenaw,
Little Sable Point Light,43.651111,-86.539167,Lighthouse,1874,1874-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Little%20Sable%20Light%20%288740756917%29.jpg,https://en.wikipedia.org/wiki/Little_Sable_Point_Light,Oceana,
Grand Island Harbor Rear Range Light,46.436667,-86.691111,Lighthouse,1868,1868-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Island%20Harbor%20Rear%20Range%20Light%202009.jpg,https://en.wikipedia.org/wiki/Grand_Island_Harbor_Rear_Range_Light,Alger,
South Haven Light,42.401389,-86.288056,Lighthouse,1872,1872-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/South%20Haven%20Lighthouse%20MS.jpg,https://en.wikipedia.org/wiki/South_Haven_Light,Van Buren,
Spectacle Reef Light,45.773333,-84.136667,Lighthouse,1874,1874-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Spectacle%20Reef%20Light%20Aerial%20View.jpg,https://en.wikipedia.org/wiki/Spectacle_Reef_Light,Mackinac,
Martin Reef Light Station,45.913333,-84.148333,Lighthouse,2012,2012,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Reef%20Light%20Station%20%28Mackinac%20County%2C%20Michigan%29.jpg,https://en.wikipedia.org/wiki/Martin_Reef_Light_Station,Mackinac,
Fourteen Foot Shoal Light,45.6798,-84.435,Lighthouse,1929,1929-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Fourteen%20Foot%20Shoal%20Light%20-%20Cheboygan%20Michigan.jpg,https://en.wikipedia.org/wiki/Fourteen_Foot_Shoal_Light,Cheboygan,
Lansing Shoals Light Station,45.903333,-85.561667,Lighthouse,2012,2012,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Lansingshoal.jpg,https://en.wikipedia.org/wiki/Lansing_Shoals_Light_Station,Mackinac,
Manistique East Breakwater Light,45.9446,-86.2472,Lighthouse,1916,1916-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Manistique%20East%20Breakwater%20Lighthouse13.jpg,https://en.wikipedia.org/wiki/Manistique_East_Breakwater_Light,Schoolcraft,
North Manitou Shoal Light Station,45.02,-85.9567,Lighthouse,1935,1935-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/North%20Manitou%20Shoal%20Light%20Station%20%28Leelanau%20County%2C%20Michigan%29.jpg,https://en.wikipedia.org/wiki/North_Manitou_Shoal_Light_Station,Leelanau,
Ludington Light,43.953611,-86.469444,Lighthouse,1871,1871-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/LudingtonLight.jpg,https://en.wikipedia.org/wiki/Ludington_Light,Mason,
Frankfort Light,44.6306,-86.2522,Lighthouse,2012,2012,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/LightningVolt%20Frankfort%20Lighthouse.jpg,https://en.wikipedia.org/wiki/Frankfort_Light,Benzie,
Poe Reef Light,45.695,-84.361667,Lighthouse,1929,1929-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Poe%20Reef%20Light.JPG,https://en.wikipedia.org/wiki/Poe_Reef_Light,Cheboygan,
Grays Reef Light Station,45.766667,-85.153333,Lighthouse,2012,2012,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Graysreef.jpg,https://en.wikipedia.org/wiki/Grays_Reef_Light,Emmet,
Muskegon South Pierhead Light,43.2267,-86.3415,Lighthouse,1851,1851-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Laurentian%20in%20Muskegon%20%2814174248817%29.jpg,https://en.wikipedia.org/wiki/Muskegon_Pier_Light,Muskegon,
Minneapolis Shoal Light Station,45.5361,-86.9983,Lighthouse,1934,1934-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Minneapolisshoal.jpg,https://en.wikipedia.org/wiki/Minneapolis_Shoal_Light_Station,Delta,
Muskegon Breakwater Light,43.2241,-86.3471,Lighthouse,1930,1930-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Muskegon%20Breakwater%20light.jpg,https://en.wikipedia.org/wiki/Muskegon_Breakwater_Light,Muskegon,
St. Clair Flats Rear Range Light,42.539445,-82.69,Lighthouse,1859,1859-01-01,lighthouse in the United States,http://commons.wikimedia.org/wiki/Special:FilePath/St%20clair%201904r%20300.jpg,https://catalog.archives.gov/id/25340525,St. Clair,
DeTour Reef Light,45.948889,-83.903056,Lighthouse,2012,2012,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/DeTour%20Reef%20Light%20Station%20-%20Michigan.jpg,https://en.wikipedia.org/wiki/DeTour_Reef_Light,Chippewa,
Middle Island Light,45.1931,-83.3211,Lighthouse,1905,1905-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Middleisland.JPG,https://en.wikipedia.org/wiki/Middle_Island_Light,Alpena,
Alpena Light,45.060278,-83.423056,Lighthouse,1875,1875-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Lighthouse%20at%20Alpena%20MI%202005-09.jpeg,https://en.wikipedia.org/wiki/Alpena_Light,Alpena,
Round Island Passage Light,45.8433,-84.615,Lighthouse,1947,1947-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Round%20Island%20Passage%20Light.jpg,https://en.wikipedia.org/wiki/Round_Island_Passage_Light,Mackinac,
Keweenaw Waterway Upper Entrance Light,47.234445,-88.630278,Lighthouse,1950,1950-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Gfp-michigan-mclain-state-park-full-view-of-the-lighthouse.jpg,https://en.wikipedia.org/wiki/Keweenaw_Waterway_Upper_Entrance_Light,Houghton,
Presque Isle Harbor Breakwater Light,46.574167,-87.374445,Lighthouse,1941,1941-01-01,"lighthouse on the breakwater at northeast side of Presque Isle Harbor in Marquette, Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Presque%20Isle%20Harbor%20Breakwater%20Light%20in%20Marquette%2C%20Michigan.jpg,https://en.wikipedia.org/wiki/Presque_Isle_Harbor_Breakwater_Light,Marquette,
Beaver Island Harbor Light,45.7428,-85.5086,Lighthouse,1856,1856-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Whiskey%20Point.jpg,https://en.wikipedia.org/wiki/Beaver_Island_Harbor_Light,Charlevoix,
Beaver Island Head Light,45.576389,-85.5725,Lighthouse,1858,1858-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Beaver%20Head%20Light%20Station.jpg,https://en.wikipedia.org/wiki/Beaver_Island_Head_Light,Charlevoix,
