name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Chippewa County Historical Society,46.50106,-84.34548,HSC,,,"Visitor center with natural history and Native American exhibits, Homestead Farm and Log Schoolhouse, wigwam, arboretum, trails",,HTTP://CCHSMI.COM/,Chippewa,Sault Ste Marie
Ontonagon County Historical Society,46.87284,-89.31799,HSC,,,"Operated by the Ontonagon Historical Society, participating institution in Keweenaw National Historical Park[48]",,HTTP://WWW.ONTONAGONMUSEUM.ORG,Ontonagon,Ontonagon
David Horodoker Womens Organization,42.53702,-83.36517,HSC,,,,,,Oakland,
Lenawee County Historical Society,41.89705,-84.03559,HSC,,,,,HTTP://WWW.LENAWEEMUSEUM.ORG/,Lenawee,Adrian
Manistee County Historical Society,44.2476,-86.32431,HSC,,,"website, located in a historic store, exhibits include the Civil War, pioneer life, antiques and maritime history; also operates another facility in the historic Waterworks building, exhibits include logging, railroad, and marine exhibits and memorabilia of Manistee in the 19th century",,HTTP://WWW.MANISTEEMUSEUM.ORG,Manistee,Manistee
Historical Society Of Greater Lansing,42.74259,-84.55223,HSC,,,,,HTTP://WWW.LANSINGHISTORY.ORG,Ingham,Lansing
Wayne Historical Society,42.28087,-83.38568,HSC,,,website,,https://en.wikipedia.org/wiki/Wayne_Historical_Museum?action=edit&redlink=1,Wayne,Wayne
Bernard Historical Society Museum,42.51295,-85.39621,HSC,,,"website, operated by the Bernard Historical Society, includes Bernard Hospital, Brown School, Country Store, Seamstress Cottage, Little House, Blacksmith Shop, Implement Building, Windmill",,https://en.wikipedia.org/wiki/Bernard_Historical_Museum?action=edit&redlink=1,Barry,Delton
Little Traverse Historical Society,45.37536,-84.95925,HSC,,,"website, special exhibits on Ernest Hemingway, operated by the Little Traverse Historical Society",,HTTP://WWW.PETOSKEYMUSEUM.ORG,Emmet,Petoskey
Birmingham Historical Society,42.5272,-83.20914,HSC,,,"website, regional art center, four galleries showcase contemporary art from the Midwest and beyond",,HTTP://WWW.BHAMGOV.ORG/MUSEUM/,Oakland,Birmingham
Farmington Historical Society,42.52838,-83.33429,HSC,,,,,,Oakland,
Barry County Historical Society,42.64285,-85.29659,HSC,,,,,,Barry,
Shiawassee County Historical Society,42.99876,-84.17557,HSC,,,website,,https://en.wikipedia.org/wiki/Shiawassee_County_Historical_Society?action=edit&redlink=1,Shiawassee,Owosso
Holland Harbor Lighthouse Historical Commission,42.76649,-86.20797,HSC,,,"Dutch paintings and decorative arts, Lake Michigan maritime history, industry, immigration",,https://en.wikipedia.org/wiki/Holland_Museum,Allegan,Holland
